plant_name,status,country,grid_connection_date,total_string_capacity_kwp,current_power_kw,specific_energy_kwh_kwp,yield_today_kwh,total_yield_kwh,psh,city,city_plant_count,city_avg_psh,threshold_psh,performance_status,psh_deviation_pct_vs_city_avg,underperforming
SIME KANSAI PAINT SDN BHD,Normal,Malaysia,17/9/2025,123.825,33.23,4.57,565.35,90422.16,4.57,KLANG,32,3.6721875,3.30496875,Normal,24.45,FALSE
SJK (C) WU TECK,Normal,Malaysia,25/12/2025,71.92,41.76,4.1,294.69,32549.47,4.1,KLANG,32,3.6721875,3.30496875,Normal,11.65,FALSE
SJK （ C ） PIN HWA 1,Normal,Malaysia,23/9/2025,183.52,15.36,4.02,738.43,94248.04,4.02,KLANG,32,3.6721875,3.30496875,Normal,9.47,FALSE
SM Chung Chung Hua (PSDN) Klang,Normal,Malaysia,14/2/2022,420.195,110.53,3.86,1621.9,286210.09,3.86,KLANG,32,3.6721875,3.30496875,Normal,5.11,FALSE
SP Logistics Sdn Bhd,Normal,Malaysia,14/6/2024,90.675,43.84,3.53,320.36,192417.15,3.53,KLANG,32,3.6721875,3.30496875,Normal,-3.87,FALSE
TOMEI,Normal,Malaysia,7/11/2024,215.28,40.71,3.76,809.39,327996.32,3.76,KLANG,32,3.6721875,3.30496875,Normal,2.39,FALSE
Tembikar Wei Khing,Normal,Malaysia,27/1/2025,977.22,226.42,3.88,3795.65,1052412.67,3.88,KLANG,32,3.6721875,3.30496875,Normal,5.66,FALSE
Tong Seh,Normal,Malaysia,18/1/2024,260.91,68.12,3.95,1030.88,644077.84,3.95,KLANG,32,3.6721875,3.30496875,Normal,7.57,FALSE
UC BLASTING PAINTING,Normal,Malaysia,8/5/2024,219.96,48.91,4.39,966.27,543715.52,4.39,KLANG,32,3.6721875,3.30496875,Normal,19.55,FALSE
VINDA PHASE 4 (MSB 3-2),Normal,Malaysia,6/3/2026,2119.14,267.67,4.59,9725.8,252210.85,4.59,KLANG,32,3.6721875,3.30496875,Normal,24.99,FALSE
VISKO INDUSTRIES SDN BHD,Normal,Malaysia,7/7/2023,948.75,492.02,4.18,3965.9,3189884.01,4.18,KLANG,32,3.6721875,3.30496875,Normal,13.83,FALSE
Vinda  Phase 1 and 2 (MSB 2),Normal,Malaysia,20/8/2023,2561.65,275.75,3.8,9732.28,7034187.19,3.8,KLANG,32,3.6721875,3.30496875,Normal,3.48,FALSE
Vinda Phase 3 (MSB 3-1),Normal,Malaysia,28/6/2024,1502.28,173.23,3.8,5715.75,4638661.44,3.8,KLANG,32,3.6721875,3.30496875,Normal,3.48,FALSE
kwang hua persendirian meter 1,Normal,Malaysia,4/3/2022,73.03,15.69,3.79,276.73,336551.48,3.79,KLANG,32,3.6721875,3.30496875,Normal,3.21,FALSE
Apex Uniparts,Normal,Malaysia,28/5/2024,41.535,2.66,3.58,148.86,92998.49,3.58,KLUANG,3,3.643333333,3.279,Normal,-1.74,FALSE
Kluang Coffee Powder,Normal,Malaysia,28/5/2024,25.135,2.14,3.85,96.87,61774.98,3.85,KLUANG,3,3.643333333,3.279,Normal,5.67,FALSE
SAWIPAC SDN BHD,Normal,Malaysia,4/9/2025,44.28,2.97,3.5,154.91,30105.72,3.5,KLUANG,3,3.643333333,3.279,Normal,-3.93,FALSE
CHYE JOO HIANG SDN. BHD. (Meter 1),Normal,Malaysia,22/2/2025,25.83,10.84,5.19,133.98,38866.89,5.19,KOTA BHARU,3,4.326666667,3.894,Normal,19.95,FALSE
SWEE CHEONG WATCH SDN BHD (Meter 1),Normal,Malaysia,30/10/2024,8.85,5.33,3.93,34.75,11569.46,3.93,KOTA BHARU,3,4.326666667,3.894,Normal,-9.17,FALSE
SWEE CHEONG WATCH SDN BHD (Meter 2),Normal,Malaysia,30/10/2024,8.85,5.33,3.86,34.15,10877.27,3.86,KOTA BHARU,3,4.326666667,3.894,Underperforming,-10.79,TRUE
SUCCESS ELECTRONIC LOT 3,Normal,Malaysia,29/12/2025,251.72,49.29,3.14,790.27,73410.99,3.14,KOTA DAMANSARA,2,3.045,2.7405,Normal,3.12,FALSE
SUCCESS ELECTRONIC LOT 7,Normal,Malaysia,31/12/2025,395.56,76.87,2.95,1168.17,95373.3,2.95,KOTA DAMANSARA,2,3.045,2.7405,Normal,-3.12,FALSE
QL AGROFOOD SDN BHD,Normal,Malaysia,25/6/2025,409.92,67.55,3.58,1465.88,262930.46,3.58,KOTA KINABALU,1,3.58,3.222,No comparison required,0,FALSE
