plant_name,status,country,city,grid_connection_date,total_string_capacity_kwp,current_power_kw,specific_energy_kwh_kwp,yield_today_kwh,total_yield_kwh,psh,city_plant_count,city_avg_psh,threshold_psh,performance_status,psh_deviation_pct_vs_city_avg,underperforming
FOX ONE LOT 8,,Malaysia,KAJANG,28/1/2026,91.76,2.89,4.12,377.81,16537.7,4.12,9,3.581111111,3.223,Normal,15.05,FALSE
IOI Knowledge Vision Sdn Bhd,,Malaysia,KAJANG,19/6/2025,71.92,5.32,4.81,345.75,74121.9,4.81,9,3.581111111,3.223,Normal,34.32,FALSE
IOI Mayang Development,,Malaysia,KAJANG,18/7/2025,71.92,2.07,2.74,197.11,46809.23,2.74,9,3.581111111,3.223,Underperforming,-23.49,TRUE
LKW FROZEN SDN BHD,,Malaysia,KAJANG,12/5/2024,54.99,0.83,3.2,176.14,91883.03,3.2,9,3.581111111,3.223,Underperforming,-10.64,TRUE
P.A. FOOD SDN. BHD.,,Malaysia,KAJANG,7/5/2024,25.155,0.68,3.63,91.23,61419.24,3.63,9,3.581111111,3.223,Normal,1.37,FALSE
UCS_Block A,,Malaysia,KAJANG,24/7/2022,125,0,3.14,393.05,480984.43,3.14,9,3.581111111,3.223,Underperforming,-12.32,TRUE
UCS_Block B,,Malaysia,KAJANG,24/7/2022,135,2.77,3.32,448.58,558148.63,3.32,9,3.581111111,3.223,Normal,-7.29,FALSE
UCS_Block C,,Malaysia,KAJANG,24/7/2022,185.5,3.72,3.19,592.29,768927.15,3.19,9,3.581111111,3.223,Underperforming,-10.92,TRUE
FDP AND MTB INDUSTRIES SDN BHD,,Malaysia,KERLING,25/1/2026,186,0,0,0,6803.17,0,1,0,0,No comparison required,,FALSE
AMT PC DISTRIBUTORS SDN. BHD.,,Malaysia,KLANG,4/1/2024,88.335,13.41,2.27,200.22,246627.94,2.27,32,2.3525,2.11725,Normal,-3.51,FALSE
ASHITA COMMUNICATION,,Malaysia,KLANG,3/11/2025,91.76,0,0,0,0,0,32,2.3525,2.11725,Underperforming,-100,TRUE
ASIA WIRE STEEL MESH MANUFACTURERS SDN BHD,,Malaysia,KLANG,3/3/2026,908.97,110.64,2.42,2197.42,115567.88,2.42,32,2.3525,2.11725,Normal,2.87,FALSE
Advance Vi Tech Lot 1629,,Malaysia,KLANG,27/10/2024,240.13,20.7,3.54,849.68,383243.18,3.54,32,2.3525,2.11725,Normal,50.48,FALSE
BUNCHO (M) SDN BHD,,Malaysia,KLANG,1/10/2025,91.14,13.39,2.89,263.16,22432.03,2.89,32,2.3525,2.11725,Normal,22.85,FALSE
Hoon Yuen Furniture,,Malaysia,KLANG,20/11/2023,88.335,13.22,2.51,221.61,234429.13,2.51,32,2.3525,2.11725,Normal,6.7,FALSE
KCCCI 2FLOOR,,Malaysia,KLANG,27/3/2025,4.13,0.34,2.44,10.08,4731.42,2.44,32,2.3525,2.11725,Normal,3.72,FALSE
